,address,code_district,code_suburb,dock_bikes,free_bases,id,light,name,no_available,number,reservations_count,total_bases,date_time,longitude,latitude,coordinates
76,"Calle Augusto Figueroa nº 33,",01,014,14,13,1462,2,58 - Augusto Figueroa,0,58,0,27,2024-02-12 18:13:43,-3.6978583,40.4222783,"(-3.6978583, 40.4222783)"
77,"Calle Espíritu Santo nº 30,",01,015,7,12,1463,2,59 - Plaza de Juan Pujol,0,59,0,19,2024-02-12 18:13:43,-3.7043418,40.4255495,"(-3.7043418, 40.4255495)"
78,"Plaza de la Independencia nº 6,",03,035,9,14,1464,2,60 - Plaza de la Independencia,0,60,0,23,2024-02-12 18:13:43,-3.688398,40.419752,"(-3.688398, 40.419752)"
79,"Calle O'Donnell nº 28,",03,034,10,17,1465,2,61 - Narváez,0,61,0,27,2024-02-12 18:13:43,-3.6753139,40.4214551,"(-3.6753139, 40.4214551)"
80,"Calle O'Donnell nº 50,",03,034,21,6,1466,1,62 - O'Donnell,0,62,0,27,2024-02-12 18:13:43,-3.6724968,40.4213148,"(-3.6724968, 40.4213148)"
81,"Calle Ibiza nº 62,",03,034,16,7,1467,2,63 - Ibiza,0,63,0,23,2024-02-12 18:13:43,-3.6708959,40.4179237,"(-3.6708959, 40.4179237)"
82,"Calle Antonio Maura nº 15,",03,035,16,8,1468,2,65 - Antonio Maura,0,65,0,24,2024-02-12 18:13:43,-3.689424797942769,40.4167014469994,"(-3.689424797942769, 40.4167014469994)"
83,"Calle Almadén nº 28,",01,013,4,19,1469,0,67 - Almadén,0,67,0,23,2024-02-12 18:13:43,-3.693225,40.4108472,"(-3.693225, 40.4108472)"
84,"Calle Espalter nº 1,",03,035,0,19,1470,0,68 - Espalter,0,68,0,19,2024-02-12 18:13:43,-3.6913232,40.4127692,"(-3.6913232, 40.4127692)"
85,"Avenida de Alfonso XII nº 54,",03,035,13,14,1471,2,69 - Puerta del Ángel Caído,0,69,0,27,2024-02-12 18:13:43,-3.688822,40.409808,"(-3.688822, 40.409808)"
86,"Avenida de Menéndez Pelayo nº 63,",03,035,21,5,1472,1,70 - Puerta del Doce de Octubre,0,70,0,27,2024-02-12 18:13:43,-3.677872542327878,40.415382385574716,"(-3.677872542327878, 40.415382385574716)"
87,"Calle Doce de Octubre nº 28,",03,034,14,9,1473,2,71 - Doce de Octubre,0,71,0,23,2024-02-12 18:13:43,-3.6739,40.4161,"(-3.6739, 40.4161)"
88,"Calle Doctor Esquerdo nº 99,",03,036,23,0,1474,1,72 - Sainz de Baranda,0,72,0,23,2024-02-12 18:13:43,-3.6696,40.4159,"(-3.6696, 40.4159)"
89,"Avd. Ciudad de Barcelona, 2,",03,035,16,7,2274,2,"80-A - 80A - Avd. Ciudad de Barcelona, 2",0,80-A,0,23,2024-02-12 18:13:43,-3.690538,40.407573,"(-3.690538, 40.407573)"
90,"Avd ciudad de Barcelona , 2,",03,035,22,5,2275,1,"80-B - 80B - Avd ciudad de Barcelona ,2",0,80-B,0,27,2024-02-12 18:13:43,-3.6904748,40.4075211,"(-3.6904748, 40.4075211)"
91,"Adolfo Bioy Casares, 9,",18,183,21,6,2276,1,"447 - Calle de Adolfo Bioy Casares, 9",0,447,0,27,2024-02-12 18:13:43,-3.5981935,40.3668504,"(-3.5981935, 40.3668504)"
92,"Calle San Jenaro, 1,",17,171,6,18,2278,0,"412 - San Jenaro, 1",0,412,0,24,2024-02-12 18:13:43,-3.7043083,40.3500291,"(-3.7043083, 40.3500291)"
93,"Calle  Diamante, 10,",17,174,11,13,2279,2,"415 - Diamante, 10",0,415,0,24,2024-02-12 18:13:43,-3.6877534,40.3532609,"(-3.6877534, 40.3532609)"
94,"Calle Doctor Martín Arévalo, 19,",17,171,18,6,2280,1,"413 - Doctor Martín Arévalo, 19",0,413,0,24,2024-02-12 18:13:43,-3.707413,40.345928,"(-3.707413, 40.345928)"
95,"Calle Zapatoca, 8,",16,164,4,19,2281,0,"545 - Zapatoca, 8",0,545,0,23,2024-02-12 18:13:43,-3.63335803,40.47285235,"(-3.63335803, 40.47285235)"
96,"Plaza Mayor de Barajas, 24,",21,213,12,12,2282,2,"567 - Plaza Mayor de Barajas, 24",0,567,0,24,2024-02-12 18:13:43,-3.5776537,40.4733252,"(-3.5776537, 40.4733252)"
97,"Calle Soto Hidalgo, 2,",21,211,12,15,2283,2,"563 - Soto Hidalgo, 2",0,563,0,27,2024-02-12 18:13:43,-3.5820745,40.4606465,"(-3.5820745, 40.4606465)"
98,"Paseo Reina Cristina,6,",03,031,13,10,2285,2,"281 - Paseo Reina Cristina,6",0,281,0,23,2024-02-12 18:13:43,-3.6831862,40.4067247,"(-3.6831862, 40.4067247)"
99,"Ronda de la comunicacion,",08,086,10,13,2286,2,609 - Ronda de la comunicacion,0,609,0,23,2024-02-12 18:13:43,-3.6626887,40.5157202,"(-3.6626887, 40.5157202)"
100,"calle Moncada 102,",17,172,10,13,2287,2,408 - Moncada 102,0,408,0,23,2024-02-12 18:13:43,-3.692444,40.341725,"(-3.692444, 40.341725)"
101,"Calle Eduardo Barreiros 114,",17,175,13,10,2288,2,409 - Calle Eduardo Barreiros 114,0,409,0,23,2024-02-12 18:13:43,-3.7046436,40.3553495,"(-3.7046436, 40.3553495)"
